"id" "dataNasc" "cep"
1 "28/06/1979" "04180-112"
2 "27/11/1974" "04849-529"
3 "26/06/1979" "04843-425"
4 "04/10/1989" "08226-021"
5 "16/11/1985" "04180-112"
6 "21/02/1996" "04236-094"
7 "07/03/1995" "02317-262"
8 "17/04/1982" "03047-000"
9 "18/03/1976" "03807-020"
10 "20/02/1995" "08240-001"
11 "15/07/1977" "08421-510"
12 "13/03/1981" "08150-640"
13 "16/01/1982" "18190-000"
14 "12/03/1970" "08081-511"
15 "17/12/1999" "04852-410"
16 "21/06/1991" "01517-100"
17 "26/06/1996" "04849-309"
18 "25/10/1986" "08475-250"
19 "24/08/1990" "08412-120"
20 "09/10/1974" "04849-333"
21 "24/11/1974" "08344-010"
22 "16/09/1976" "04893-052"
23 "01/07/1989" "04894-017"
24 "04/07/1974" "02012-030"
25 "26/04/1975" "03195-105"
26 "11/03/1971" "03015-017"
27 "08/07/1997" "05892-387"
28 "04/01/1985" "08452-252"
29 "29/09/1988" "04877-265"
30 "12/03/1981" "08320-685"
31 "17/11/1992" "04182-125"
32 "06/06/1993" "02987-265"
33 "13/04/1995" "08240-174"
34 "13/09/1987" "04405-185"
35 "25/10/1977" "02997-003"
36 "28/07/1994" "05570-776"
37 "12/02/1997" "04858-425"
38 "30/08/1986" "02966-040"
39 "19/12/1983" "05565-065"
40 "01/08/1983" "08472-600"
41 "26/05/1986" "08390-258"
42 "15/11/1977" "08430-853"
43 "22/12/1994" "05752-350"
44 "25/05/1992" "04863-210"
45 "12/12/1970" "02340-020"
46 "31/08/1982" "08190-420"
47 "26/08/1979" "04863-140"
48 "23/03/1978" "02365-028"
49 "10/07/1992" "05397-120"
50 "20/12/1992" "08431-530"
51 "12/07/1989" "05586-030"
52 "12/04/1980" "04929-320"
53 "17/09/1995" "03541-000"
54 "13/07/1989" "04223-040"
55 "18/02/1987" "02079-002"
56 "02/02/1971" "08431-620"
57 "14/04/1974" "04294-000"
58 "17/07/1980" "03714-060"
59 "13/08/1972" "08010-360"
60 "04/02/1988" "03237-040"
61 "30/08/1984" "08235-200"
62 "27/07/1989" "03559-060"
63 "21/09/1995" "03404-105"
64 "14/12/1977" "02911-140"
65 "26/09/1970" "04707-040"
66 "13/09/1997" "08431-125"
67 "18/09/1994" "08141-540"
68 "26/06/1995" "04364-010"
69 "07/05/1971" "04225-010"
70 "10/05/1990" "04570-030"
71 "18/06/1978" "02728-080"
72 "27/08/1989" "03817-100"
73 "10/03/1984" "04284-080"
74 "11/10/1973" "02217-170"
75 "24/04/1976" "05725-030"
76 "11/05/1992" "04467-250"
77 "03/12/1995" "03462-070"
78 "21/11/1987" "03694-020"
79 "02/11/1974" "03757-010"
80 "27/01/1989" "02274-010"
81 "24/10/1993" "04337-040"
82 "27/09/1975" "05436-170"
83 "06/11/1973" "05436-000"
84 "22/09/1991" "05324-005"
85 "04/04/1994" "02350-070"
86 "25/05/1983" "02913-030"
87 "22/02/1976" "05269-220"
88 "07/09/1988" "02175-030"
89 "02/09/1976" "03758-110"
90 "06/07/1974" "02130-060"
91 "29/06/1995" "04414-090"
