"id_regiao","descricao_regiao","valor_regiao","data_craw"
1,"Centro",272716,"2021-10-16 20:08:39"
2,"Consolação",317773,"2021-10-16 20:08:39"
3,"Brooklin",394981,"2021-10-16 20:08:39"
4,"Mooca",427874,"2021-10-16 20:08:39"
5,"Santo Amaro",268011,"2021-10-16 20:08:39"
6,"Interlagos",398383,"2021-10-16 20:08:39"
7,"Centro",254590,"2021-10-16 20:08:54"
8,"Consolação",301139,"2021-10-16 20:08:54"
9,"Brooklin",359364,"2021-10-16 20:08:54"
10,"Mooca",404474,"2021-10-16 20:08:54"
11,"Santo Amaro",261376,"2021-10-16 20:08:54"
12,"Interlagos",394758,"2021-10-16 20:08:54"
13,"Centro",286050,"2021-10-16 20:09:09"
14,"Consolação",323252,"2021-10-16 20:09:09"
15,"Brooklin",384028,"2021-10-16 20:09:09"
16,"Mooca",418089,"2021-10-16 20:09:09"
17,"Santo Amaro",264654,"2021-10-16 20:09:09"
18,"Interlagos",404330,"2021-10-16 20:09:09"
19,"Centro",270021,"2021-10-16 20:09:24"
20,"Consolação",313874,"2021-10-16 20:09:24"
21,"Brooklin",421206,"2021-10-16 20:09:24"
22,"Mooca",453948,"2021-10-16 20:09:24"
23,"Santo Amaro",287959,"2021-10-16 20:09:24"
24,"Interlagos",421384,"2021-10-16 20:09:24"
25,"Centro",272394,"2021-10-16 20:09:39"
26,"Consolação",294362,"2021-10-16 20:09:39"
27,"Brooklin",403594,"2021-10-16 20:09:39"
28,"Mooca",404044,"2021-10-16 20:09:39"
29,"Santo Amaro",246247,"2021-10-16 20:09:39"
30,"Interlagos",407112,"2021-10-16 20:09:39"
31,"Centro",264577,"2021-10-16 20:09:54"
32,"Consolação",316730,"2021-10-16 20:09:54"
33,"Brooklin",363358,"2021-10-16 20:09:54"
34,"Mooca",421416,"2021-10-16 20:09:54"
35,"Santo Amaro",258713,"2021-10-16 20:09:54"
36,"Interlagos",414253,"2021-10-16 20:09:54"
37,"Centro",279275,"2021-10-16 20:10:09"
38,"Consolação",320478,"2021-10-16 20:10:09"
39,"Brooklin",381436,"2021-10-16 20:10:09"
40,"Mooca",414216,"2021-10-16 20:10:09"
41,"Santo Amaro",274957,"2021-10-16 20:10:09"
42,"Interlagos",394823,"2021-10-16 20:10:09"
43,"Centro",256736,"2021-10-16 20:10:24"
44,"Consolação",356336,"2021-10-16 20:10:24"
45,"Brooklin",378825,"2021-10-16 20:10:24"
46,"Mooca",405825,"2021-10-16 20:10:24"
47,"Santo Amaro",248363,"2021-10-16 20:10:24"
48,"Interlagos",446786,"2021-10-16 20:10:24"
49,"Centro",269748,"2021-10-16 20:10:39"
50,"Consolação",320133,"2021-10-16 20:10:39"
51,"Brooklin",372170,"2021-10-16 20:10:39"
52,"Mooca",400370,"2021-10-16 20:10:39"
53,"Santo Amaro",274905,"2021-10-16 20:10:39"
54,"Interlagos",431178,"2021-10-16 20:10:39"
55,"Centro",279708,"2021-10-16 20:10:54"
56,"Consolação",345848,"2021-10-16 20:10:54"
57,"Brooklin",369430,"2021-10-16 20:10:54"
58,"Mooca",421066,"2021-10-16 20:10:54"
59,"Santo Amaro",260554,"2021-10-16 20:10:54"
60,"Interlagos",398075,"2021-10-16 20:10:54"
61,"Centro",295449,"2021-10-16 20:11:09"
62,"Consolação",313399,"2021-10-16 20:11:09"
63,"Brooklin",389713,"2021-10-16 20:11:09"
64,"Mooca",402748,"2021-10-16 20:11:09"
65,"Santo Amaro",258742,"2021-10-16 20:11:09"
66,"Interlagos",419843,"2021-10-16 20:11:09"
67,"Centro",277582,"2021-10-16 20:11:24"
68,"Consolação",322325,"2021-10-16 20:11:24"
69,"Brooklin",394765,"2021-10-16 20:11:24"
70,"Mooca",407488,"2021-10-16 20:11:24"
71,"Santo Amaro",256520,"2021-10-16 20:11:24"
72,"Interlagos",404441,"2021-10-16 20:11:24"
73,"Centro",268673,"2021-10-16 20:11:39"
74,"Consolação",310074,"2021-10-16 20:11:39"
75,"Brooklin",396799,"2021-10-16 20:11:39"
76,"Mooca",432611,"2021-10-16 20:11:39"
77,"Santo Amaro",293016,"2021-10-16 20:11:39"
78,"Interlagos",420662,"2021-10-16 20:11:39"
79,"Centro",272831,"2021-10-16 20:11:54"
80,"Consolação",319241,"2021-10-16 20:11:54"
81,"Brooklin",378953,"2021-10-16 20:11:54"
82,"Mooca",471855,"2021-10-16 20:11:54"
83,"Santo Amaro",266989,"2021-10-16 20:11:54"
84,"Interlagos",449413,"2021-10-16 20:11:54"
85,"Centro",275665,"2021-10-16 20:12:09"
86,"Consolação",326806,"2021-10-16 20:12:09"
87,"Brooklin",363201,"2021-10-16 20:12:09"
88,"Mooca",447346,"2021-10-16 20:12:09"
89,"Santo Amaro",266469,"2021-10-16 20:12:09"
90,"Interlagos",403070,"2021-10-16 20:12:09"
91,"Centro",294562,"2021-10-16 20:12:24"
92,"Consolação",330288,"2021-10-16 20:12:24"
93,"Brooklin",391622,"2021-10-16 20:12:24"
94,"Mooca",416754,"2021-10-16 20:12:24"
95,"Santo Amaro",278382,"2021-10-16 20:12:24"
96,"Interlagos",415585,"2021-10-16 20:12:24"
97,"Centro",266384,"2021-10-16 20:12:39"
98,"Consolação",346108,"2021-10-16 20:12:39"
99,"Brooklin",372159,"2021-10-16 20:12:39"
100,"Mooca",438168,"2021-10-16 20:12:39"
101,"Santo Amaro",263441,"2021-10-16 20:12:39"
102,"Interlagos",405727,"2021-10-16 20:12:39"
103,"Centro",290985,"2021-10-16 20:12:54"
104,"Consolação",315887,"2021-10-16 20:12:54"
105,"Brooklin",359807,"2021-10-16 20:12:54"
106,"Mooca",413531,"2021-10-16 20:12:54"
107,"Santo Amaro",272524,"2021-10-16 20:12:54"
108,"Interlagos",436647,"2021-10-16 20:12:54"
109,"Centro",282613,"2021-10-16 20:13:09"
110,"Consolação",336245,"2021-10-16 20:13:09"
111,"Brooklin",376202,"2021-10-16 20:13:09"
112,"Mooca",405325,"2021-10-16 20:13:09"
113,"Santo Amaro",266497,"2021-10-16 20:13:09"
114,"Interlagos",397797,"2021-10-16 20:13:09"
115,"Centro",298862,"2021-10-16 20:13:24"
116,"Consolação",326314,"2021-10-16 20:13:24"
117,"Brooklin",371724,"2021-10-16 20:13:24"
118,"Mooca",426983,"2021-10-16 20:13:24"
119,"Santo Amaro",291657,"2021-10-16 20:13:24"
120,"Interlagos",399438,"2021-10-16 20:13:24"
121,"Centro",279209,"2021-10-16 20:13:39"
122,"Consolação",306244,"2021-10-16 20:13:39"
123,"Brooklin",400015,"2021-10-16 20:13:39"
124,"Mooca",438603,"2021-10-16 20:13:39"
125,"Santo Amaro",261645,"2021-10-16 20:13:39"
126,"Interlagos",418868,"2021-10-16 20:13:39"
127,"Centro",272789,"2021-10-16 20:13:54"
128,"Consolação",322726,"2021-10-16 20:13:54"
129,"Brooklin",388310,"2021-10-16 20:13:54"
130,"Mooca",460995,"2021-10-16 20:13:54"
131,"Santo Amaro",262603,"2021-10-16 20:13:54"
132,"Interlagos",420670,"2021-10-16 20:13:54"
133,"Centro",271223,"2021-10-16 20:14:09"
134,"Consolação",314682,"2021-10-16 20:14:09"
135,"Brooklin",376250,"2021-10-16 20:14:09"
136,"Mooca",396022,"2021-10-16 20:14:09"
137,"Santo Amaro",267683,"2021-10-16 20:14:09"
138,"Interlagos",411568,"2021-10-16 20:14:09"
139,"Centro",285269,"2021-10-16 20:14:24"
140,"Consolação",298264,"2021-10-16 20:14:24"
141,"Brooklin",381658,"2021-10-16 20:14:24"
142,"Mooca",407070,"2021-10-16 20:14:24"
143,"Santo Amaro",258944,"2021-10-16 20:14:24"
144,"Interlagos",410650,"2021-10-16 20:14:24"
