,,opniaoWebSites,oQuePoderiaMelhorar,
,,Fascinantes ,Facilidade em encontrá-los,
,,necessários,não tenho uma resposta para isso,
",,Ajuda bastante a encontrarmos o que queremos,""Acessibilidade, velocidade de navegação."","
,,Legais,Usabilidade ,
,,Interessante,Versatilidade,
,,Sla,Tudo,
,,Ha muita interatividade ,Forma de entrar em contato com as pessoas,
,,Legais,Só retirar os biscoitos,
,,Se não dosados podem ser tóxicos,Maior segurança ,
,,Interessante ,Tecnologia ,
,,Bonito,Design,
,,Sei lá,Indiferente,
",,""Muito bom o serviço, versátil"",""Melhorar o desempenho, demora para carregar"","
,,Legal,Garotas,
",,""São ótimos, funcional e com um layout ótimo para as vistas"",Performance,"
,,Bom,Nada,
,,Eles cumprem a sua função,Não sei,
,,útil,Reduzir o número de dependências para uma simples página,
,,Legal,Garotas,
,,Util,Compatibilidade ,
,,delícia,o tamanho,
,,Legais,Navegação,
,,Acho uma tecnologia bem legal e útil,Responsividade,
,,Essencial para um negócio,Compatibilidade com aparelhos antigos,
",,""Acho legal, mas depende do dia "",Os comentários tem MT gente toxica ,"
,,bonitos ,fluidez ,
,,Interessante,Tornar mais atraente,
,,São bons para obter informações e para entretenimento ,Às vezes tenho a impressão de que nem tudo conseguimos encontrar. Acredito que essa questão é mais crítica. ,
,,Achei genial a ideia,Nada está ótimo,
,,Ótima ideia,Lentidão,
,,É bom facilita a vida,Está perfeito,
,,Pouco intuitivo ,Criar experiência para o usuário ,
,,Exelente,Security,
,,boring,cores,
,,Sociável ,Otimização ,
,,Fonte de Conhecimento,Interatividade,
,,gasolina tá cara,gasolina tá cara,
,,Legal,Tudo,
,,Bom,Tirar aquelas propagandas em cima do conteúdo ,
",,""Ótima ideia, funcional, reduz o tempo, facilita, imobiliário, banco, bancos,banco, bancos, financiamento, financiamento "",""Ótima ideia, funcional, reduz o tempo, facilita, imobiliário, banco, bancos,banco, bancos, financiamento, financiamento Ótima ideia, funcional, reduz o tempo, facilita, imobiliário, banco, bancos,banco, bancos, financiamento, financiamento Ótima ideia, funcional, reduz o tempo, facilita, imobiliário, banco, bancos,banco, bancos,"","
",,""Ótima ideia, funcional, reduz o tempo, facilita, imobiliário, banco, bancos, banco, bancos, financiamento, financiamento, dinheiro, bonito, funcional, ajuda, facilita facilita Ótima ideia, funcional, reduz o tempo, facilita, imobiliário, banco, bancos, banco, bancos, financiamento, financiamento, dinheiro, Ótima ideia, funcional, reduz o tempo, facilita, imobiliário, banco, bancos, banco, bancos, financiamento, financiamento, dinheiro, bonito, funcional, ajuda, facilita facilita facilita facilita facilita facilita"",""facilita facilita facilita facilita, banco bancos, cifra, s16bank bank presil banco do cifra  cifra, s16bank bank presil banco do cifra  cifra, s16bank bank presil banco do cifra  cifra, s16bank bank presil banco do cifra, cifra ,  cifra, s16bank bank presil banco do cifra,  cifra, s16bank bank presil banco do cifra,presil"","
",,"" cifra, s16bank bank presil banco do cifra cifra, s16bank bank presil banco do cifra  "",Otimização Otimização Otimização Otimização Otimização Está perfeito Está perfeito Está perfeito Está perfeito,"
",,""Gosto muito do site tecmundo, lá acho bastante coisas sobre tecnologia etc."",Não sei dizer,Nada"
