"paginaSaida.r" "varianciaTempoAcesso"
"hub" 4
"cadastro" 8
"hub" 5
"dash" 9
"dash" 9
"cadastro" 1
"dash" 6
"hub" 9
"login" 6
"cadastro" 5
"cadastro" 10
"hub" 5
"hub" 7
"cadastro" 6
"login" 2
"dash" 9
"cadastro" 3
"dash" 1
"cadastro" 4
"hub" 10
"cadastro" 9
"dash" 7
"cadastro" 7
"cadastro" 10
"dash" 7
"hub" 7
"cadastro" 6
"cadastro" 6
"hub" 4
"cadastro" 2
"hub" 10
"cadastro" 9
"cadastro" 7
"hub" 8
"cadastro" 1
"cadastro" 5
"hub" 8
"cadastro" 3
"cadastro" 4
"cadastro" 3
"dash" 2
"dash" 5
"cadastro" 5
"cadastro" 4
"hub" 2
"login" 2
"cadastro" 3
"login" 5
"dash" 3
"home" 9
"dash" 1
"dash" 5
"home" 8
"cadastro" 2
"cadastro" 6
"hub" 3
"dash" 2
"hub" 8
"hub" 9
"dash" 4
"dash" 7
"hub" 2
"hub" 4
"hub" 3
"login" 8
"dash" 5
"cadastro" 8
"hub" 8
"home" 8
"cadastro" 5
"dash" 8
"dash" 7
"home" 7
"dash" 1
"dash" 5
"dash" 3
"hub" 4
"login" 7
"cadastro" 4
"hub" 2
"cadastro" 3
"hub" 7
"hub" 5
"cadastro" 8
"dash" 2
"hub" 5
"login" 10
"login" 9
"dash" 9
"cadastro" 3
"dash" 2
"login" 7
"login" 4
"hub" 7
"dash" 4
"dash" 3
"home" 8
"cadastro" 2
"hub" 5
"hub" 6
"dash" 6
"dash" 4
"hub" 5
"dash" 10
"dash" 5
"cadastro" 9
"cadastro" 9
"home" 6
"home" 5
"dash" 2
"login" 9
"dash" 4
"cadastro" 2
"cadastro" 10
"hub" 7
"hub" 2
"cadastro" 6
"home" 10
"hub" 6
"cadastro" 5
"hub" 7
"hub" 4
"dash" 4
"hub" 3
"hub" 4
"login" 10
"home" 2
"cadastro" 2
"login" 2
"cadastro" 7
"cadastro" 7
"dash" 9
"dash" 7
"cadastro" 8
"dash" 6
"dash" 7
"cadastro" 8
"hub" 8
"cadastro" 10
"hub" 5
"dash" 4
"cadastro" 5
"login" 1
"home" 3
"hub" 9
"cadastro" 3
"dash" 3
"dash" 2
"hub" 3
"hub" 8
"home" 9
"cadastro" 5
"dash" 4
"home" 3
"cadastro" 2
"hub" 5
"login" 6
"dash" 3
"cadastro" 5
"hub" 3
"cadastro" 6
"hub" 4
"cadastro" 7
"hub" 4
"login" 4
"login" 6
"dash" 8
"hub" 3
"hub" 5
"home" 3
"cadastro" 7
"cadastro" 3
"dash" 9
"home" 8
"hub" 7
"cadastro" 7
"dash" 4
"cadastro" 6
"login" 9
"dash" 6
"login" 9
"hub" 4
"dash" 7
"dash" 3
"dash" 6
"hub" 5
"cadastro" 3
"dash" 6
