"id" "idade" "regiao.r" "valorImovel" "renda" "tempoFinanciamento" "X.rendaFinanciamento" "banco.r" "avaliacao.r" "dataHoraEntrada" "dataHoraSaida" "dataHoraAvaliacao" "tempoAcesso" "paginaSaida.r" "statusSaida" "paginaSaida"
1 37 "consolação" 65373.23 5933.33 22 7.34 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:16" "2021-05-21 18:01:46" 173 "hub" "80%" 2
2 39 "santo-amaro" 100958.08 4474.97 24 6.86 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:02:55" "2021-05-21 18:02:26" 212 "login" "40%" 4
3 48 "brooklin" 80924.25 6814.44 33 5.35 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:06:30" "2021-05-21 18:05:31" 427 "cadastro" "60%" 3
4 40 "santo-amaro" 105307.65 5083.05 25 6.69 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:03:31" "2021-05-21 18:02:35" 248 "home" "20%" 5
5 41 "interlagos" 135638.45 5395.72 26 6.45 "Banco Cifra" "n/ avaliado" "2021-05-21 17:59:23" "2021-05-21 18:03:39" "2021-05-21 18:03:55" 256 "home" "20%" 5
6 49 "centro" 118612 2806.33 34 5.21 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:06:49" "2021-05-21 18:05:18" 446 "dash" "100%" 1
7 42 "mooca" 117505.74 4639.68 27 6.3 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:04:18" "2021-05-21 18:03:11" 295 "cadastro" "60%" 3
8 34 "santo-amaro" 94266.13 5142.85 19 8.03 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:00:51" "2021-05-21 17:58:39" 88 "home" "20%" 5
9 37 "mooca" 104927.35 4796.27 22 7.27 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:02:01" "2021-05-21 18:00:40" 158 "cadastro" "60%" 3
10 38 "brooklin" 130178.84 5445.62 23 7.07 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:30" "2021-05-21 18:01:43" 187 "cadastro" "60%" 3
11 46 "interlagos" 107958.42 4678.41 31 5.64 "Banco Cifra" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:05:50" "2021-05-21 18:03:26" 387 "home" "20%" 5
12 42 "brooklin" 64405.03 5478.48 27 6.28 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:06" "2021-05-21 18:01:41" 283 "cadastro" "60%" 3
13 42 "mooca" 89872.73 5196.17 27 6.29 "S16 Bank" "positiva" "2021-05-21 17:59:23" "2021-05-21 18:04:11" "2021-05-21 18:03:48" 288 "login" "40%" 4
14 41 "mooca" 124884.66 5714.83 26 6.44 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:03:36" "2021-05-21 18:02:22" 253 "cadastro" "60%" 3
15 37 "consolação" 123970.44 4039.86 22 7.34 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:16" "2021-05-21 18:01:22" 173 "dash" "100%" 1
16 49 "santo-amaro" 122952.2 5670.72 34 5.22 "Banco Cifra" NA "2021-05-21 17:59:23" "2021-05-21 18:06:57" "2021-05-21 18:05:51" 454 "home" "20%" 5
17 42 "consolação" 96225.76 6655.4 27 6.31 "Banco do Presil" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:23" "2021-05-21 18:03:16" 300 "hub" "80%" 2
18 30 "centro" 69423.28 6242.7 15 9.31 "Banco do Presil" "positiva" "2021-05-21 17:59:23" "2021-05-21 17:59:27" "2021-05-21 17:59:05" 4 "dash" "100%" 1
19 44 "brooklin" 78279.39 3438.49 29 5.92 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:04:47" "2021-05-21 18:03:38" 324 "hub" "80%" 2
20 38 "interlagos" 73937.87 6182.03 23 7.06 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:02:26" "2021-05-21 18:00:34" 183 "home" "20%" 5
21 35 "santo-amaro" 72409.06 5570.22 20 7.77 "Banco Cifra" "n/ avaliado" "2021-05-21 17:59:23" "2021-05-21 18:01:15" "2021-05-21 18:00:20" 112 "home" "20%" 5
22 39 "mooca" 111104.63 6140.59 24 6.87 "S16 Bank" NA "2021-05-21 17:59:23" "2021-05-21 18:02:57" "2021-05-21 18:02:02" 214 "login" "40%" 4
23 35 "mooca" 94876.23 3759.37 20 7.8 "S16 Bank" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:20" "2021-05-21 17:59:38" 117 "login" "40%" 4
24 36 "interlagos" 141890.81 5684.01 21 7.6 "Banco Cifra" "negativa" "2021-05-21 17:59:23" "2021-05-21 18:01:56" "2021-05-21 18:00:29" 153 "home" "20%" 5
